loading workload and aet access finished in 1.483 s
tot_mem: 549755813888, granularity: 256
end calc
calculate MRC finished in 1188.324 s
0, 1.000
1, 1.000
3, 1.000
7, 1.000
15, 1.000
31, 1.000
63, 1.000
127, 0.999
255, 0.997
511, 0.991
1023, 0.972
2047, 0.925
4095, 0.842
8191, 0.640
16383, 0.197
32767, 0.103
65535, 0.052
131071, 0.032
262143, 0.018
524287, 0.015
1048575, 0.015
2097151, 0.015
4194303, 0.015
8388607, 0.015
16777215, 0.015
33554431, 0.015
67108863, 0.015
134217727, 0.015
268435455, 0.015
536870911, 0.015
1073741823, 0.015
2147483647, 0.015
