loading workload and aet access finished in 2.502 s
tot_mem: 137438953472, granularity: 64
end calc
calculate MRC finished in 892.202 s
0, 1.000
1, 1.000
3, 1.000
7, 1.000
15, 1.000
31, 1.000
63, 1.000
127, 0.993
255, 0.989
511, 0.983
1023, 0.978
2047, 0.973
4095, 0.969
8191, 0.966
16383, 0.954
32767, 0.941
65535, 0.937
131071, 0.934
262143, 0.931
524287, 0.928
1048575, 0.922
2097151, 0.853
4194303, 0.853
8388607, 0.853
16777215, 0.853
33554431, 0.853
67108863, 0.853
134217727, 0.853
268435455, 0.853
536870911, 0.853
1073741823, 0.853
2147483647, 0.853
