loading workload and aet access finished in 69.484 s
tot_mem: 549755813888, granularity: 256
end calc
calculate MRC finished in 906.218 s
0, 1.000
1, 1.000
3, 1.000
7, 1.000
15, 1.000
31, 0.984
63, 0.980
127, 0.975
255, 0.969
511, 0.949
1023, 0.930
2047, 0.922
4095, 0.919
8191, 0.918
16383, 0.918
32767, 0.918
65535, 0.917
131071, 0.917
262143, 0.914
524287, 0.911
1048575, 0.910
2097151, 0.909
4194303, 0.904
8388607, 0.897
16777215, 0.888
33554431, 0.866
67108863, 0.858
134217727, 0.854
268435455, 0.828
536870911, 0.828
1073741823, 0.828
2147483647, 0.828
