loading workload and aet access finished in 124.478 s
tot_mem: 549755813888, granularity: 256
end calc
calculate MRC finished in 1242.001 s
0, 1.000
1, 1.000
3, 1.000
7, 1.000
15, 1.000
31, 1.000
63, 1.000
127, 1.000
255, 1.000
511, 1.000
1023, 1.000
2047, 1.000
4095, 1.000
8191, 1.000
16383, 1.000
32767, 1.000
65535, 1.000
131071, 1.000
262143, 1.000
524287, 1.000
1048575, 1.000
2097151, 1.000
4194303, 0.998
8388607, 0.989
16777215, 0.980
33554431, 0.964
67108863, 0.953
134217727, 0.919
268435455, 0.164
536870911, 0.164
1073741823, 0.164
2147483647, 0.164
